id,sinif,kod,mezmun_sahesi,bloom_taksonomiyasi,cetinlik_seviyyesi,status,standart_metni,xarakteristika,kohne_standart_metni,yaradilma_tarixi
997,1,Az_dili_I_4.1.1,Dil qaydaları,Xatırlama,asan,deyismeyib,Söz tərkibindəki səs və hecaları müəyyən edir.,PIRLS çərçəvəsindəki fonetik şüur və CEFR A1 səviyyəsindəki səs tanıma bacarıqlarına tam uyğundur. Finlandiya modelində də 1-ci sinifdə fonetik analiz əsas şüur bacarığıdır.,Söz tərkibindəki səs və hecaları müəyyən edir.,2026-03-20 11:57:04.230794
998,1,Az_dili_I_4.1.2,Dil qaydaları,Xatırlama,asan,deyismeyib,Hərflərin əlifba sırasını müəyyən edir.,CEFR A1 səviyyəsinin əlifba bilgisi tələblərinə və bütün beynəlxalq çərçəvələrdəki ilkin oxu bacarıqlarına uyğundur. Yaponiya Kokugo standartlarında da əlifba sistemini mənimsəmə əsas tələbdir.,Hərflərin əlifba sırasını müəyyən edir.,2026-03-20 11:57:04.232547
999,1,Az_dili_I_4.1.3,Dil qaydaları,Tətbiq,asan,deyismeyib,Yazıda sadə orfoqrafiya normalarına riayət edir.,CEFR A1 səviyyəsindəki yazı normaları və PIRLS tələblərindəki əsas orfoqrafiya qaydalarına tam uyğundur. Estoniya kurikulumunda da sadə yazı qaydaları bu səviyyədə əsasdır.,Yazıda sadə orfoqrafiya normalarına riayət edir.,2026-03-20 11:57:04.233847
1000,1,Az_dili_I_4.2.1,Dil qaydaları,Xatırlama,asan,deyismeyib,"Ad, əlamət, say, hərəkət bildirən sözlərin ümumi qrammatik mənalarını müəyyən edir.",CEFR A1 səviyyəsinin leksik kateqoriyalar və PIRLS çərçəvəsinin əsas qrammatik anlayışlar tələblərinə uyğundur. Sinqapur STELLAR proqramında da ilkin qrammatik kateqoriya bilgisi bu səviyyədədir.,"Ad, əlamət, say, hərəkət bildirən sözlərin ümumi qrammatik mənalarını müəyyən edir.",2026-03-20 11:57:04.23522
1001,1,Az_dili_I_4.2.2,Dil qaydaları,Anlama,asan,deyismeyib,"Mətndə cümlələri müəyyən edir, məqsəd və intonasiyaya görə fərqləndirir.",PIRLS çərçəvəsindəki mətn strukturunu anlama və İrlandiya modelindəki intonasiya həssaslığı tələblərinə uyğundur. Cümlə növlərini ayırd etmə bacarığı bu sinif üçün məqsədəuyğundur.,"Mətndə cümlələri müəyyən edir, məqsəd və intonasiyaya görə fərqləndirir.",2026-03-20 11:57:04.236362
1002,1,Az_dili_I_4.3.1,Dil qaydaları,Tətbiq,asan,deyismeyib,Cümlə sonunda müvafiq durğu işarələrindən istifadə edir.,CEFR A1 səviyyəsindəki punktuasiya tələbləri və bütün beynəlxalq çərçəvələrdəki əsas yazı normaları ilə uyğundur. Ontario modelində də əsas punktuasiya qaydaları bu sinifin tələbidir.,Cümlə sonunda müvafiq durğu işarələrindən istifadə edir.,2026-03-20 11:57:04.23741
1003,1,Az_dili_I_4.4.1,Dil qaydaları,Anlama,asan,deyismeyib,Sözün mənasını sadə üsullarla izah edir.,CEFR A1 səviyyəsindəki leksik anlama və PIRLS çərçəvəsindəki söz mənası izahı tələblərinə uyğundur. Finlandiya standartlarında da söz mənası ilə işləmə bu səviyyədə əsasdır.,Sözün mənasını sadə üsullarla izah edir.,2026-03-20 11:57:04.238759
1139,1,Az_dili_I_4.5.1,Dil qaydaları,Anlama,asan,yeni_yazilmis,"Mətn növləri: Müxtəlif mətn növlərini (hekayə, şeir, məlumat mətni) fərqləndirir.",PIRLS çərçivəsində mətn növlərinin tanınması əsas bacarıqdır. Yaponiya və İrlandiya kurikulumlarında mətn tipologiyası 1-ci sinifdən öyrədilir.,"",2026-03-20 12:48:28.449368
1004,1,Az_dili_I_1.1.1,Dinləmə və danışma,Xatırlama,asan,yenilenib,Dinlədiyi mətnlə bağlı sadə faktoloji suallara cavab verir və əsas məlumatları xatırlayır.,"Köhnə standartda yalnız cavab vermək var idi, lakin PIRLS çərçəvəsində açıq məlumatı əldə etmə və xatırlama əsasdır. Finlandiya modelində dinləmədə aktiv məlumat emalı və Sinqapur STELLAR proqramında dinləmə strategiyaları daha ətraflı işlənir. Yeni standart dinləmə prosesində məlumat seçimi və saxlama bacarığını da əhatə edir.",Dinlədiyi mətnlə bağlı sadə faktoloji suallara cavab verir.,2026-03-20 11:57:04.239754
1005,1,Az_dili_I_1.1.2,Dinləmə və danışma,Anlama,asan,deyismeyib,Dinlədiyi mətndəki fakt və hadisələri şərh edir.,PIRLS çərçəvəsindəki birbaşa nəticə çıxarma və CEFR A1 səviyyəsindəki dinləyib-anlama tələblərinə uyğundur. Yaponiya Kokugo standartlarında da mətn şərhi bu səviyyədə əsasdır.,Dinlədiyi mətndəki fakt və hadisələri şərh edir.,2026-03-20 11:57:04.240999
1006,1,Az_dili_I_1.1.3,Dinləmə və danışma,Anlama,asan,deyismeyib,Dinlədiyi mətndəki obrazlara münasibət bildirir.,PIRLS çərçəvəsindəki məzmun qiymətləndirmə və CEFR A1 səviyyəsindəki şəxsi reaksiya tələblərinə uyğundur. Ontario modelində də bildiri və münasibət ifadəsi bu səviyyədə məqsədəuyğundur.,Dinlədiyi mətndəki obrazlara münasibət bildirir.,2026-03-20 11:57:04.24219
1007,1,Az_dili_I_1.2.1,Dinləmə və danışma,Anlama,asan,deyismeyib,Müzakirə olunan məsələ ilə bağlı öz fikirlərini ifadə edir.,CEFR A1 səviyyəsindəki şəxsi fikir ifadəsi və Sinqapur STELLAR proqramındakı kommunikativ yanaşma tələblərinə uyğundur. İrlandiya modelində də şifahi fikir mübadiləsi bu səviyyədə əsasdır.,Müzakirə olunan məsələ ilə bağlı öz fikirlərini ifadə edir.,2026-03-20 11:57:04.243391
1008,1,Az_dili_I_1.2.2,Dinləmə və danışma,Tətbiq,asan,deyismeyib,Hər hansı mövzuda dialoq qurur.,CEFR A1 səviyyəsindəki sadə interaktiv danışma və Ontario modelindəki əməkdaşlıq kommunikasiyası tələblərinə uyğundur. Dialoq qurma bacarığı bu sinif üçün məqsədəuyğundur.,Hər hansı mövzuda dialoq qurur.,2026-03-20 11:57:04.244517
1009,1,Az_dili_I_1.3.1,Dinləmə və danışma,Anlama,asan,deyismeyib,Oxuduqlarını və dinlədiklərini rabitəli şəkildə təqdim edir.,PIRLS çərçəvəsindəki inteqrasiya bacarıqları və CEFR A1 səviyyəsindəki rabitəli nitq tələblərinə uyğundur. Finlandiya modelində də məlumat təqdim etmə bu səviyyədə əsasdır.,Oxuduqlarını və dinlədiklərini rabitəli şəkildə təqdim edir.,2026-03-20 11:57:04.245548
1010,1,Az_dili_I_1.3.2,Dinləmə və danışma,Analiz,orta,yenilenib,"Şəkil, sxem və vizual materiallar üzrə məlumatları təhlil edərək danışır.","Köhnə standart yalnız sadə danışmağı əhatə edirdi, lakin PISA 2025 çoxmodal mətnlərlə işləməni və Finlandiya modelindəki vizual savadlılığı tələb edir. Sinqapur STELLAR proqramında vizual məlumatların təhlili və İrlandiya təcrübəsindəki multimodal kommunikasiya müasir tələbdir. Yeni standart vizual məlumatları oxumaq və təhlil etmək bacarıqlarını inkişaf etdirir.",Sadə sxemlər və komikslər üzrə danışır.,2026-03-20 11:57:04.246586
1011,1,Az_dili_I_1.3.3,Dinləmə və danışma,Tətbiq,asan,deyismeyib,"Hər hansı hadisə, varlıq haqqında fikirlərini rabitəli cümlələrlə ifadə edir.",CEFR A1 səviyyəsindəki rabitəli nitq və PIRLS çərçəvəsindəki fikir ifadəsi tələblərinə uyğundur. Ontario modelində də sadə mövzularda rabitəli danışma bu səviyyədə məqsədəuyğundur.,"Hər hansı hadisə, varlıq haqqında fikirlərini rabitəli cümlələrlə ifadə edir.",2026-03-20 11:57:04.247587
1012,1,Az_dili_I_1.3.4,Dinləmə və danışma,Tətbiq,orta,deyismeyib,Araşdırma nəticəsində əldə etdiyi məlumatları rabitəli şəkildə təqdim edir.,Ontario modelindəki tədqiqat bacarıqları və Finlandiya yanaşmasındakı məlumat təqdim etmə tələblərinə uyğundur. 1-ci sinif üçün sadə araşdırma təqdimi məqsədəuyğundur.,Araşdırma nəticəsində əldə etdiyi məlumatları rabitəli şəkildə təqdim edir.,2026-03-20 11:57:04.248662
1013,1,Az_dili_I_1.3.5,Dinləmə və danışma,Anlama,asan,deyismeyib,Dinlədiyi mətnin məzmunundan çıxış edərək onun davamını təxmin edir.,PIRLS çərçəvəsindəki proqnozlaşdırma və CEFR A1 səviyyəsindəki əsas təxmin bacarıqlarına uyğundur. Yaponiya Kokugo standartlarında da mətn davamının təxmini bu səviyyədə əsasdır.,Dinlədiyi mətnin məzmunundan çıxış edərək onun davamını təxmin edir.,2026-03-20 11:57:04.249842
